event1	event2	m1_1	m2_1	dist1	m1_2	m2_2	dist2	Blu	Rlu
190425	S190413ac	2.063355	1.424297	163.086727	83.477306	55.758698	4215.177173	0.000000E+00	2.441539E+00
190425	S190421ar	2.063355	1.424297	163.086727	48.520636	37.469384	1559.917750	0.000000E+00	1.032446E+01
190425	S190510g	2.063355	1.424297	163.086727	2.127052	1.396210	214.506238	3.038173E+04	1.812897E+00
190425	S190602aq	2.063355	1.424297	163.086727	110.865717	60.439404	2538.314813	0.000000E+00	3.712439E-01
190425	S190630ag	2.063355	1.424297	163.086727	43.756930	25.094726	894.666939	0.000000E+00	1.278728E-01
190425	S190706ai	2.063355	1.424297	163.086727	112.933503	74.121426	5294.057929	0.000000E+00	1.044236E-01
190425	S190707q	2.063355	1.424297	163.086727	13.665300	9.435456	806.532865	0.000000E+00	1.028849E-01
190425	S190708ap	2.063355	1.424297	163.086727	21.480518	14.643784	861.632575	0.000000E+00	9.785453E-02
190425	S190720a	2.063355	1.424297	163.086727	15.956410	9.005985	816.716283	0.000000E+00	7.034553E-02
190425	S190728q	2.063355	1.424297	163.086727	14.403733	9.446159	897.634710	0.000000E+00	5.629766E-02
190425	S190804f	2.063355	1.424297	163.086727	2.661309	0.997223	458.682711	7.065013E+03	4.752621E-02
190425	S190812an	2.063355	1.424297	163.086727	3.388247	1.510654	280.148786	0.000000E+00	3.933673E-02
190425	S190814bv	2.063355	1.424297	163.086727	24.687522	2.707457	266.583126	0.000000E+00	3.757804E-02
190425	S190826u	2.063355	1.424297	163.086727	1.594133	1.005948	221.791283	3.205129E-14	3.006329E-02
190425	S190828j	2.063355	1.424297	163.086727	43.837041	35.304224	1996.229569	0.000000E+00	2.914525E-02
190425	S190828l	2.063355	1.424297	163.086727	32.131295	12.406218	1550.884781	0.000000E+00	2.913775E-02
190425	S190830y	2.063355	1.424297	163.086727	13.495155	4.414696	1058.882711	1.327268E-212	2.797440E-02
190425	S190901ap	2.063355	1.424297	163.086727	2.057573	1.260297	241.128579	1.721595E-05	2.687883E-02
190511	190425	3.850878	1.518912	1683.381047	2.063355	1.424297	163.086727	6.281433E+02	1.610261E+00
190511	190521r	3.850878	1.518912	1683.381047	51.535979	39.138066	1121.147106	0.000000E+00	3.017076E+00
190511	S190413ac	3.850878	1.518912	1683.381047	83.477306	55.758698	4215.177173	0.000000E+00	6.507387E-01
190511	S190421ar	3.850878	1.518912	1683.381047	48.520636	37.469384	1559.917750	0.000000E+00	1.194993E+00
190511	S190510g	3.850878	1.518912	1683.381047	2.127052	1.396210	214.506238	6.277268E+02	2.977930E+01
190511	S190602aq	3.850878	1.518912	1683.381047	110.865717	60.439404	2538.314813	0.000000E+00	9.543774E-01
190511	S190630ag	3.850878	1.518912	1683.381047	43.756930	25.094726	894.666939	0.000000E+00	2.271350E-01
190511	S190706ai	3.850878	1.518912	1683.381047	112.933503	74.121426	5294.057929	0.000000E+00	1.808644E-01
190511	S190707q	3.850878	1.518912	1683.381047	13.665300	9.435456	806.532865	0.000000E+00	1.778644E-01
190511	S190708ap	3.850878	1.518912	1683.381047	21.480518	14.643784	861.632575	0.000000E+00	1.680809E-01
190511	S190720a	3.850878	1.518912	1683.381047	15.956410	9.005985	816.716283	0.000000E+00	1.151150E-01
190511	S190728q	3.850878	1.518912	1683.381047	14.403733	9.446159	897.634710	0.000000E+00	8.848122E-02
190511	S190804f	3.850878	1.518912	1683.381047	2.661309	0.997223	458.682711	1.124848E+02	7.214112E-02
190511	S190812an	3.850878	1.518912	1683.381047	3.388247	1.510654	280.148786	6.185104E+02	5.726976E-02
190511	S190814bv	3.850878	1.518912	1683.381047	24.687522	2.707457	266.583126	0.000000E+00	5.414921E-02
190511	S190826u	3.850878	1.518912	1683.381047	1.594133	1.005948	221.791283	1.069646E+00	4.125005E-02
190511	S190828j	3.850878	1.518912	1683.381047	43.837041	35.304224	1996.229569	0.000000E+00	3.973474E-02
190511	S190828l	3.850878	1.518912	1683.381047	32.131295	12.406218	1550.884781	0.000000E+00	3.972241E-02
190511	S190830y	3.850878	1.518912	1683.381047	13.495155	4.414696	1058.882711	1.249485E-91	3.782536E-02
190511	S190901ap	3.850878	1.518912	1683.381047	2.057573	1.260297	241.128579	5.136574E+02	3.606379E-02
190513bm	190425	47.922319	25.884359	1908.148652	2.063355	1.424297	163.086727	0.000000E+00	1.298039E+00
190513bm	190511	47.922319	25.884359	1908.148652	3.850878	1.518912	1683.381047	0.000000E+00	1.430826E+01
190513bm	190519bj	47.922319	25.884359	1908.148652	94.012281	67.120783	3830.846901	1.416212E-223	5.790878E+00
190513bm	190521g	47.922319	25.884359	1908.148652	191.015006	80.104642	2312.369982	0.000000E+00	4.400128E+00
190513bm	190521r	47.922319	25.884359	1908.148652	51.535979	39.138066	1121.147106	2.348939E-40	4.260509E+00
190513bm	S190413ac	47.922319	25.884359	1908.148652	83.477306	55.758698	4215.177173	1.787715E-71	5.610344E-01
190513bm	S190421ar	47.922319	25.884359	1908.148652	48.520636	37.469384	1559.917750	2.910698E-24	9.816514E-01
190513bm	S190425e	47.922319	25.884359	1908.148652	2.159430	1.390684	102.150916	0.000000E+00	1.267353E+00
190513bm	S190426c	47.922319	25.884359	1908.148652	5.518208	1.939483	673.410613	0.000000E+00	1.451639E+00
190513bm	S190510g	47.922319	25.884359	1908.148652	2.127052	1.396210	214.506238	0.000000E+00	9.463761E+00
190513bm	S190512at	47.922319	25.884359	1908.148652	27.933490	16.642326	1430.391569	2.803933E-139	3.607825E+01
190513bm	S190602aq	47.922319	25.884359	1908.148652	110.865717	60.439404	2538.314813	6.080677E-197	1.159349E+00
190513bm	S190607t	47.922319	25.884359	1908.148652	1.982071	1.254118	135.817611	0.000000E+00	8.046448E-01
190513bm	S190630ag	47.922319	25.884359	1908.148652	43.756930	25.094726	894.666939	1.116620E+02	2.496562E-01
190513bm	S190701ah	47.922319	25.884359	1908.148652	77.306595	53.661396	1841.469922	2.133269E-139	2.395206E-01
190513bm	S190704o	47.922319	25.884359	1908.148652	6.364086	4.321680	436.060624	0.000000E+00	2.170134E-01
190513bm	S190706ai	47.922319	25.884359	1908.148652	112.933503	74.121426	5294.057929	1.110076E-182	1.978470E-01
190513bm	S190707q	47.922319	25.884359	1908.148652	13.665300	9.435456	806.532865	0.000000E+00	1.945061E-01
190513bm	S190708ap	47.922319	25.884359	1908.148652	21.480518	14.643784	861.632575	0.000000E+00	1.836227E-01
190513bm	S190720a	47.922319	25.884359	1908.148652	15.956410	9.005985	816.716283	0.000000E+00	1.249187E-01
190513bm	S190727h	47.922319	25.884359	1908.148652	57.666366	45.159167	2858.799342	1.712279E-55	9.862566E-02
190513bm	S190728q	47.922319	25.884359	1908.148652	14.403733	9.446159	897.634710	0.000000E+00	9.548228E-02
190513bm	S190802ab	47.922319	25.884359	1908.148652	1.884447	1.031714	161.440189	0.000000E+00	8.046975E-02
190513bm	S190804f	47.922319	25.884359	1908.148652	2.661309	0.997223	458.682711	0.000000E+00	7.745118E-02
190513bm	S190812an	47.922319	25.884359	1908.148652	3.388247	1.510654	280.148786	0.000000E+00	6.108054E-02
190513bm	S190814bv	47.922319	25.884359	1908.148652	24.687522	2.707457	266.583126	0.000000E+00	5.765377E-02
190513bm	S190826u	47.922319	25.884359	1908.148652	1.594133	1.005948	221.791283	0.000000E+00	4.354425E-02
190513bm	S190828j	47.922319	25.884359	1908.148652	43.837041	35.304224	1996.229569	3.857165E-03	4.189505E-02
190513bm	S190828l	47.922319	25.884359	1908.148652	32.131295	12.406218	1550.884781	5.042827E-166	4.188165E-02
190513bm	S190830y	47.922319	25.884359	1908.148652	13.495155	4.414696	1058.882711	0.000000E+00	3.982039E-02
190513bm	S190901ap	47.922319	25.884359	1908.148652	2.057573	1.260297	241.128579	0.000000E+00	3.791010E-02
190519bj	190425	94.012281	67.120783	3830.846901	2.063355	1.424297	163.086727	0.000000E+00	8.253228E-01
190519bj	190511	94.012281	67.120783	3830.846901	3.850878	1.518912	1683.381047	0.000000E+00	3.773101E+00
190519bj	190521g	94.012281	67.120783	3830.846901	191.015006	80.104642	2312.369982	1.442143E-137	2.494398E+01
190519bj	190521r	94.012281	67.120783	3830.846901	51.535979	39.138066	1121.147106	1.173901E-179	2.142468E+01
190519bj	S190413ac	94.012281	67.120783	3830.846901	83.477306	55.758698	4215.177173	9.214833E+00	4.139115E-01
190519bj	S190421ar	94.012281	67.120783	3830.846901	48.520636	37.469384	1559.917750	1.797402E-06	6.545965E-01
190519bj	S190425e	94.012281	67.120783	3830.846901	2.159430	1.390684	102.150916	0.000000E+00	8.089108E-01
190519bj	S190426c	94.012281	67.120783	3830.846901	5.518208	1.939483	673.410613	0.000000E+00	9.071411E-01
190519bj	S190510g	94.012281	67.120783	3830.846901	2.127052	1.396210	214.506238	0.000000E+00	3.165044E+00
190519bj	S190602aq	94.012281	67.120783	3830.846901	110.865717	60.439404	2538.314813	1.299940E-10	1.933277E+00
190519bj	S190607t	94.012281	67.120783	3830.846901	1.982071	1.254118	135.817611	0.000000E+00	1.259384E+00
190519bj	S190630ag	94.012281	67.120783	3830.846901	43.756930	25.094726	894.666939	0.000000E+00	3.153403E-01
190519bj	S190701ah	94.012281	67.120783	3830.846901	77.306595	53.661396	1841.469922	8.845570E-23	3.015438E-01
190519bj	S190706ai	94.012281	67.120783	3830.846901	112.933503	74.121426	5294.057929	5.650771E-03	2.460877E-01
190519bj	S190707q	94.012281	67.120783	3830.846901	13.665300	9.435456	806.532865	0.000000E+00	2.417173E-01
190519bj	S190708ap	94.012281	67.120783	3830.846901	21.480518	14.643784	861.632575	0.000000E+00	2.275437E-01
190519bj	S190720a	94.012281	67.120783	3830.846901	15.956410	9.005985	816.716283	0.000000E+00	1.522860E-01
