event1	event2	blu	rlu_haris	rlu_anupreeta
GW190408_181802	GW190412	9.14e-259	1.29e+00	6.65e+00
GW190408_181802	GW190413_052954	0.00e+00	9.88e-01	6.01e+00
GW190408_181802	GW190413_134308	7.92e-215	9.10e-01	5.46e+00
GW190408_181802	GW190421_213856	5.27e-211	2.80e-01	2.15e+00
GW190408_181802	GW190424_180648	1.36e-26	2.17e-01	1.65e+00
GW190408_181802	GW190426_152155	0.00e+00	1.86e-01	1.43e+00
GW190408_181802	GW190512_180714	6.28e-41	6.82e-02	4.52e-01
GW190408_181802	GW190513_205428	0.00e+00	6.49e-02	4.29e-01
GW190408_181802	GW190517_055101	3.50e-50	5.65e-02	3.61e-01
GW190408_181802	GW190519_153544	0.00e+00	5.15e-02	2.72e-01
GW190408_181802	GW190521_074359	0.00e+00	4.85e-02	2.42e-01
GW190408_181802	GW190521	0.00e+00	4.88e-02	2.45e-01
GW190408_181802	GW190630_185205	5.09e-43	1.62e-02	2.88e-02
GW190408_181802	GW190701_203306	0.00e+00	1.59e-02	2.82e-02
GW190408_181802	GW190707_093326	0.00e+00	1.44e-02	1.45e-02
GW190408_181802	GW190708_232457	9.78e-141	1.40e-02	1.37e-02
GW190408_181802	GW190719_215514	3.55e-04	1.20e-02	6.80e-03
GW190408_181802	GW190720_000836	0.00e+00	1.20e-02	6.79e-03
GW190408_181802	GW190728_064510	0.00e+00	1.11e-02	0.00e+00
GW190408_181802	GW190731_140936	1.24e-159	1.08e-02	0.00e+00
GW190408_181802	GW190803_022701	0.00e+00	1.07e-02	0.00e+00
GW190408_181802	GW190814	0.00e+00	1.04e-02	0.00e+00
GW190408_181802	GW190828_063405	4.72e-70	1.10e-02	0.00e+00
GW190408_181802	GW190828_065509	2.19e-48	1.10e-02	0.00e+00
GW190408_181802	GW190909_114149	5.20e-06	1.29e-02	0.00e+00
GW190408_181802	GW190910_112807	0.00e+00	1.31e-02	0.00e+00
GW190408_181802	GW190924_021846	0.00e+00	2.07e-02	0.00e+00
GW190408_181802	GW190929_012149	6.89e-192	2.91e-02	0.00e+00
GW190408_181802	GW190930_133541	1.63e-299	3.37e-02	0.00e+00
GW190412	GW190413_052954	0.00e+00	5.20e+00	1.08e+01
GW190412	GW190413_134308	0.00e+00	3.51e+00	9.69e+00
GW190412	GW190421_213856	0.00e+00	4.03e-01	3.09e+00
GW190412	GW190512_180714	1.21e-59	8.05e-02	5.36e-01
GW190412	GW190513_205428	0.00e+00	7.61e-02	4.98e-01
GW190412	GW190517_055101	0.00e+00	6.51e-02	4.32e-01
GW190412	GW190519_153544	0.00e+00	5.89e-02	3.72e-01
GW190412	GW190521_074359	0.00e+00	5.51e-02	3.41e-01
GW190412	GW190521	0.00e+00	5.55e-02	3.47e-01
GW190412	GW190630_185205	0.00e+00	1.74e-02	3.38e-02
GW190412	GW190719_215514	0.00e+00	1.25e-02	8.13e-03
GW190412	GW190728_064510	0.00e+00	1.14e-02	0.00e+00
GW190412	GW190803_022701	0.00e+00	1.09e-02	0.00e+00
GW190412	GW190828_063405	0.00e+00	1.07e-02	0.00e+00
GW190412	GW190828_065509	0.00e+00	1.07e-02	0.00e+00
GW190412	GW190909_114149	4.26e-44	1.21e-02	0.00e+00
GW190412	GW190910_112807	0.00e+00	1.23e-02	0.00e+00
GW190412	GW190924_021846	0.00e+00	1.76e-02	0.00e+00
GW190412	GW190929_012149	0.00e+00	2.25e-02	0.00e+00
GW190412	GW190930_133541	0.00e+00	2.49e-02	0.00e+00
GW190413_052954	GW190512_180714	6.77e-179	8.49e-02	5.81e-01
GW190413_052954	GW190521_074359	2.25e-02	5.73e-02	3.63e-01
GW190413_052954	GW190521	0.00e+00	5.78e-02	3.64e-01
GW190413_052954	GW190803_022701	2.01e+01	1.10e-02	0.00e+00
GW190413_052954	GW190910_112807	7.90e-02	1.21e-02	0.00e+00
GW190413_052954	GW190924_021846	0.00e+00	1.69e-02	0.00e+00
GW190413_134308	GW190413_052954	7.98e-05	1.86e+01	1.12e+01
GW190413_134308	GW190421_213856	5.07e-02	4.80e-01	3.42e+00
GW190413_134308	GW190512_180714	1.49e-316	8.65e-02	5.99e-01
GW190413_134308	GW190517_055101	1.49e-34	6.92e-02	4.54e-01
GW190413_134308	GW190521_074359	7.11e-15	5.81e-02	3.67e-01
GW190413_134308	GW190521	0.00e+00	5.86e-02	3.70e-01
GW190413_134308	GW190803_022701	1.02e-02	1.10e-02	0.00e+00
GW190413_134308	GW190910_112807	3.41e-04	1.21e-02	0.00e+00
GW190413_134308	GW190924_021846	0.00e+00	1.67e-02	0.00e+00
GW190421_213856	GW190413_052954	7.04e-02	4.58e-01	3.37e+00
GW190421_213856	GW190512_180714	0.00e+00	1.48e-01	1.09e+00
GW190421_213856	GW190521_074359	0.00e+00	8.54e-02	5.89e-01
GW190421_213856	GW190521	0.00e+00	8.63e-02	5.97e-01
GW190421_213856	GW190803_022701	7.29e-01	1.19e-02	5.72e-03
