z	ldistance	m1z	m2z	ra	dec	iota	pol	tc	s1x	s1y	s1z	s2x	s2y	s2z	snr
0.28748	1478.34517	17.10361	16.05908	4.28015	-0.31102	1.16400	1.00727	1251812167.84191	-0.11008	0.16487	0.07923	0.00358	-0.06168	0.17033	10.33427
0.24106	1209.20178	20.42269	17.28970	3.70821	-0.76388	1.42033	3.72533	1251808692.63176	0.11973	-0.02969	-0.03334	-0.18765	0.20389	0.18296	11.14320
0.41905	2295.03834	24.14415	11.97739	3.03069	0.31140	0.45651	4.45031	1251831693.44835	-0.18637	-0.60684	0.45036	-0.33663	0.04303	0.25229	13.28631
0.96459	6319.84467	91.51270	74.67468	1.52157	0.91722	0.97269	2.01649	1251807560.21942	0.00367	-0.11581	-0.04905	-0.00029	0.00133	-0.00032	10.28426
0.80034	5020.50106	98.59838	52.10653	1.83196	-0.52102	0.43639	1.72165	1251824248.71805	-0.31454	-0.14667	0.20598	-0.70712	-0.08166	0.16947	10.32866
0.17242	831.18759	11.25746	7.76894	1.01661	0.29759	1.21170	0.24614	1251814826.82950	0.24206	-0.04826	-0.27907	-0.10881	-0.00481	0.08880	8.39652
0.36741	1965.53442	55.92174	28.89486	2.74515	-1.47903	0.26969	5.29093	1251820397.86180	0.36490	-0.69327	0.25814	-0.05979	0.01461	-0.19451	23.51757
0.78457	4899.17190	73.59559	38.14832	4.53454	-1.02717	0.40260	1.86607	1251806348.86480	0.10634	0.51488	-0.74747	0.40135	-0.27890	-0.30679	11.69415
0.44045	2434.78466	35.80724	28.10321	5.48267	0.84211	0.38824	3.59543	1251827156.92117	0.04698	-0.03368	-0.09400	0.95377	0.22140	-0.12479	9.95564
0.36859	1972.95776	36.62307	35.82324	4.03312	0.54535	0.95389	4.05249	1251774981.19954	0.11958	0.09770	0.09399	-0.39789	-0.10861	-0.33807	13.05421
0.48917	2759.61454	79.91007	56.88395	4.88710	1.11441	1.56024	3.83519	1251777806.62391	-0.74148	0.34800	-0.27033	-0.22870	0.15786	-0.31205	13.97485
0.90617	5850.61709	95.75978	63.99452	2.66959	0.25484	0.61177	0.39401	1251786656.38608	-0.86793	0.39044	-0.02052	-0.13733	0.07285	-0.11024	10.52029
0.85143	5417.89421	82.45761	58.02523	3.35952	-0.26119	0.51217	5.15422	1251807922.93043	0.01389	0.02888	0.01972	0.48462	-0.61355	-0.25410	11.14073
0.42674	2345.04953	31.23142	16.64447	4.12868	-0.68445	0.42840	3.91802	1251797425.87713	-0.07067	0.00920	0.00903	0.10167	-0.19426	-0.01912	15.25621
0.83647	5300.86016	53.83218	48.46780	4.19851	-0.12704	0.56513	3.13267	1251818353.56482	0.20567	0.30860	0.32742	0.32593	-0.31627	0.08103	9.84422
0.31701	1654.94984	13.59631	7.28875	6.13079	0.15570	0.47340	0.16433	1251831483.03524	0.11991	0.09885	-0.06345	0.08700	0.53897	0.51173	9.30493
0.51805	2956.28232	87.58166	38.78670	3.65142	-0.30788	0.51875	0.04798	1251816273.79688	0.12967	-0.11295	-0.01503	0.01414	0.00689	0.02979	13.59852
0.36288	1937.15436	20.88233	18.35213	1.83343	-0.39690	0.09897	5.33994	1251794394.82830	-0.45940	-0.01506	-0.07598	-0.76119	0.16953	0.42754	9.58186
0.78954	4937.33441	89.80567	53.94367	4.91833	0.75102	0.93595	2.32998	1251782158.21696	0.81117	-0.35150	0.10612	-0.43062	-0.20170	-0.46079	11.14691
0.56585	3288.29436	22.47375	15.88778	0.56737	-0.70903	0.23513	2.52511	1251821809.35453	0.00014	-0.03580	0.00485	0.00480	0.01231	-0.03001	8.50335
0.69156	4197.05722	72.04692	25.75235	2.03387	1.04510	0.65266	5.73611	1251817951.74177	0.04750	0.06202	-0.15840	-0.51173	-0.31288	0.09275	10.71450
0.41379	2260.95545	15.73126	15.67970	1.78358	0.66424	0.81191	5.30125	1251812464.94594	-0.00493	0.00683	0.00329	-0.10469	0.30609	0.23560	10.04608
0.94916	6195.17700	62.70132	39.45824	4.92161	-0.26420	0.47022	0.28195	1251823053.24925	0.43436	0.17108	-0.21509	-0.06134	-0.86739	-0.33550	8.56937
0.90258	5821.96377	45.07231	35.39604	4.13445	-0.08500	0.41474	3.60589	1251756188.35828	0.26420	0.39413	0.32139	0.62903	-0.06027	0.32881	8.23830
0.52615	3012.00492	67.34620	17.74449	4.52347	-1.24546	0.31867	3.62798	1251804853.80779	-0.23731	0.47630	-0.76203	0.18829	0.85872	-0.44460	10.37864
0.43005	2366.64178	74.62334	37.93119	2.84904	-0.45972	1.37835	0.28467	1251773150.30403	0.15054	0.45274	0.79507	0.06094	-0.03760	0.04460	12.14854
0.42672	2344.95996	45.93632	41.60063	1.75327	1.11342	1.27190	3.03983	1251767885.32486	-0.69308	-0.59548	-0.17965	0.14629	0.07366	-0.07109	8.96535
0.34146	1804.25144	19.88404	9.19747	0.23471	-0.62818	0.57610	0.12230	1251752856.25221	0.28757	-0.44047	-0.68367	-0.06201	0.44213	-0.79963	11.36364
0.38869	2099.96507	46.81889	41.47768	2.48089	0.04610	0.70681	4.34799	1251824813.99232	-0.11858	0.22648	0.23986	0.05114	0.04057	0.24850	24.22781
0.57689	3366.14355	77.84477	38.65325	5.17218	-0.66272	0.08640	0.31423	1251755275.52737	0.02868	-0.09176	-0.00915	-0.19977	-0.37888	-0.25976	11.98550
0.35765	1904.54279	13.59607	12.67630	2.26019	-0.36845	0.30397	5.12762	1251777208.68376	-0.31802	0.31747	0.55950	-0.13494	-0.30257	-0.09391	14.08440
0.73032	4486.78350	41.41407	36.92594	4.55401	0.02265	0.11007	2.62372	1251769287.14736	-0.48652	-0.44537	-0.67746	0.81956	0.21630	0.44631	11.41595
0.44768	2482.44836	37.47578	31.83064	6.12933	-0.97544	0.57795	2.55701	1251768064.74675	0.11970	0.02545	0.05694	0.44227	0.45720	0.58939	14.63523
0.12649	592.46234	11.11737	9.05973	5.60191	-0.67670	1.34675	2.52793	1251819923.46970	0.48777	-0.59223	-0.08740	-0.05200	-0.06097	-0.11947	9.93775
0.26622	1353.78743	12.17098	11.34214	5.67368	0.06064	0.88963	4.71919	1251836058.89508	0.48773	0.19598	-0.07603	0.07052	-0.00664	0.00227	8.86396
0.33021	1735.22102	11.27023	8.97372	3.80351	-0.74719	0.66477	1.76301	1251779476.92869	0.00918	-0.08590	-0.03007	-0.52322	0.25851	-0.35211	8.00408
0.46255	2580.98606	30.69201	28.61197	3.93667	-0.95863	0.43727	0.01370	1251813296.92477	0.20668	0.33936	0.66237	-0.26150	-0.38740	-0.02610	16.77812
0.21221	1047.32461	36.29277	18.05581	4.12506	-0.04645	1.57012	5.66113	1251755716.31658	-0.35813	-0.51871	-0.14913	0.00626	0.00411	-0.09817	12.15155
0.68519	4149.83413	48.30665	32.84489	3.28232	0.44736	1.16501	2.62176	1251837919.78708	-0.04943	-0.10785	-0.06478	-0.02211	-0.01508	-0.07148	8.44017
0.86861	5552.91705	53.87487	33.71239	2.53939	-0.97385	0.92827	1.92081	1251780519.36547	-0.41657	0.14153	0.73717	0.07596	-0.14463	0.01608	9.04706
0.72784	4468.11313	78.76454	69.75822	3.08989	1.11069	0.89557	3.61056	1251813522.40091	0.01022	0.22051	-0.13992	-0.00404	-0.06318	0.17587	12.24041
0.88645	5693.87053	58.72157	55.13288	4.61802	0.33280	0.63044	3.90315	1251773108.23894	-0.03051	0.11873	0.23245	-0.00116	0.22746	-0.16663	11.49980
0.90839	5868.27356	73.26255	48.34438	6.03415	-1.13769	0.47057	3.13387	1251771002.26448	0.26638	0.42573	0.60114	-0.17014	0.06671	0.67887	11.52109
0.32219	1686.38741	59.80106	57.45217	0.73916	0.21362	0.03322	2.18165	1251795453.95103	-0.25852	0.26394	0.75626	0.63218	0.51671	-0.10299	49.64368
0.70754	4315.98476	25.70715	24.85062	6.01912	0.70385	0.39027	4.78372	1251772447.02150	0.13542	-0.70022	0.59952	0.05244	-0.23889	0.09133	9.04943
0.84786	5389.90300	42.08127	38.68762	1.66934	-0.73163	0.67384	5.32688	1251833870.85666	0.31854	0.27053	0.40520	-0.01233	0.31801	0.31061	8.01163
0.39808	2159.92996	39.03402	12.67617	2.20483	-0.27657	0.21641	4.88840	1251752385.12873	-0.10194	0.06841	0.05762	-0.10335	0.04205	0.08614	12.07602
0.68486	4147.40420	46.44680	43.50759	4.46121	0.32330	0.72054	5.28368	1251767336.02101	0.61798	-0.26869	0.25473	0.83109	-0.23349	-0.00042	12.94534
0.46166	2575.05235	46.88158	28.34267	4.89676	0.53406	1.09432	3.13279	1251786834.18863	-0.64850	-0.50564	0.53098	0.30187	-0.60295	-0.42524	8.81618
0.13620	641.95407	18.90631	6.49542	2.39766	-0.07484	0.07810	0.22624	1251801618.85350	-0.10927	-0.18956	-0.05450	0.15553	0.94263	-0.11158	19.31855
0.38530	2078.41296	10.58741	8.71395	4.38837	-0.11430	0.37003	2.88200	1251807756.16991	-0.67639	-0.20765	0.40209	-0.37039	0.12385	-0.17056	8.95512
0.65173	3903.83897	94.24956	65.49776	5.46662	-0.63436	0.88950	4.22559	1251799635.78114	-0.17124	-0.13917	-0.34394	0.02584	-0.88280	0.09218	13.33921
0.32026	1674.62430	51.70243	50.82132	0.61098	0.10699	0.73964	1.04539	1251807231.22163	0.05677	0.54355	0.01492	-0.11049	0.09915	0.15980	30.02875
0.33933	1791.10375	44.07968	18.60378	2.49975	-0.75489	0.12698	0.78415	1251759748.53545	-0.03413	0.16204	-0.02833	0.56775	-0.05545	-0.29213	18.94735
0.37921	2039.84016	50.69286	41.00315	4.88551	1.16901	0.96782	4.51326	1251814424.06229	-0.01307	-0.05361	-0.03674	-0.32945	0.20900	0.26571	14.50273
0.87627	5613.35273	109.33200	62.65537	1.58987	0.26843	0.47445	5.00739	1251827005.97864	-0.26962	0.44446	0.06688	0.46051	0.07395	0.18447	12.74513
0.51241	2917.60598	63.34843	38.30136	5.38247	0.72760	0.57767	5.74699	1251777277.44247	0.23929	-0.03400	-0.28640	0.15448	0.02180	0.24157	21.01337
