,scale_pos_weight_xgbqts,max_depth_xgbqts,n_estimators_xgbqts,val_xgb_dense_QTS_0_roc,test_xgb_dense_QTS_0_acc,val_xgb_dense_QTS_0_acc,test_xgb_dense_QTS_0_f1,val_xgb_dense_QTS_0_f1,test_xgb_dense_QTS_0_roc
0,0.01,4.0,105.0,0.9589896609479213,0.9879969587226635,0.9962128778133764,0.024076785423783956,0.27300613496932513,0.8891006245302466
1,0.01,4.0,120.0,0.9588875821873625,0.9874627343484264,0.9961649395578495,0.023683390464319103,0.2792792792792793,0.8889995094672489
2,0.01,4.0,135.0,0.9590223382143577,0.9869905360251305,0.9961489601393405,0.023723723723723725,0.2869822485207101,0.8888178429012678
3,0.01,4.0,150.0,0.9589910326343065,0.986626383080894,0.9961329807208316,0.023378141437755698,0.29032258064516125,0.8886667533652224
4,0.01,4.0,165.0,0.9589503392715486,0.9862842393805398,0.9961090115930681,0.022808267997148968,0.29317851959361396,0.8887375115501471
5,0.01,5.0,105.0,0.9596470392159105,0.9871966225814842,0.996156949848595,0.02379862700228833,0.28528974739970286,0.8895420943744394
6,0.01,5.0,120.0,0.9596511542750658,0.9864463074491286,0.9960610733375412,0.023356401384083045,0.2906474820143885,0.8895289127816037
7,0.01,5.0,135.0,0.9596101690641411,0.9859761099661858,0.9960211247912688,0.02286351596263767,0.29461756373937675,0.8896094470852234
8,0.01,5.0,150.0,0.9595132852009554,0.9856059545008904,0.9960211247912688,0.022554347826086955,0.300561797752809,0.889367513946569
9,0.01,5.0,165.0,0.9594147572597621,0.9852157906320654,0.9959891659542509,0.0222310440651052,0.3047091412742382,0.8891413319857837
10,0.01,6.0,105.0,0.9597504507497657,0.986584365433482,0.9961170013023226,0.02330662782228696,0.2915451895043732,0.8896405916941834
11,0.01,6.0,120.0,0.9596533334080466,0.9860241301346565,0.9960850424653047,0.022940271366624704,0.2979942693409742,0.8895529506132155
12,0.01,6.0,135.0,0.9595948178505544,0.9856279637447728,0.9960450939190323,0.022854033464834715,0.30575035063113604,0.8894059476461393
13,0.01,6.0,150.0,0.9596376222483874,0.9852137897917125,0.995973186535742,0.02274530547474213,0.3019390581717452,0.8893459218645674
14,0.01,6.0,165.0,0.9595001520334384,0.984847636007123,0.9959412276987241,0.02220787604906391,0.30601092896174864,0.8890402306822776
15,0.01,7.0,105.0,0.959016793099184,0.9863602713139519,0.9960850424653047,0.022652329749103944,0.2959770114942529,0.889179535213872
16,0.01,7.0,120.0,0.9590068216201433,0.985890073831009,0.9960211247912688,0.022998060404544194,0.2926136363636364,0.8891007277264327
17,0.01,7.0,135.0,0.9590403355179921,0.9854839032393605,0.9960131350820144,0.02236895297129767,0.30014025245441794,0.8889421530270238
18,0.01,7.0,150.0,0.959043944706991,0.9850177074371236,0.9959651968264874,0.022199007573779052,0.30344827586206896,0.8889320191615504
19,0.01,7.0,165.0,0.9589669162474366,0.9847115788631225,0.9959332379894695,0.022014591066171766,0.305593451568895,0.8888724749621801
20,0.01,8.0,105.0,0.9597676308785325,0.9859360931591268,0.9960530836282868,0.022799944390379537,0.29629629629629634,0.8895922064424018
21,0.01,8.0,120.0,0.9597336597518884,0.9854318813901839,0.9959811762449965,0.022815729432290967,0.29846582984658293,0.8894675041711382
22,0.01,8.0,135.0,0.959883251394042,0.9851117469337122,0.9959492174079785,0.022079116835326585,0.29485396383866475,0.8895037363520721
23,0.01,8.0,150.0,0.959772757678,0.9848256267632406,0.9959332379894695,0.021924168171266443,0.30178326474622774,0.8896553659481576
24,0.01,8.0,165.0,0.9596950093263001,0.9844874847435923,0.9959252482802151,0.022443575841634096,0.30894308943089427,0.8893554055940684
25,0.1,4.0,105.0,0.9605165035468892,0.9715780627863703,0.9944871006144086,0.016069820599847615,0.324853228962818,0.8898495089330368
26,0.1,4.0,120.0,0.9604407105779083,0.9705516316853078,0.994359265266337,0.01551839464882943,0.32504780114722753,0.8901220397408651
27,0.1,4.0,135.0,0.9603367931738971,0.9697232837791873,0.9942394196275197,0.015484710474951204,0.3280521901211556,0.8906508720363233
28,0.1,4.0,150.0,0.9601423152836527,0.969113027471538,0.9941755019534839,0.015434657822565215,0.3305785123966942,0.8900325892867679
29,0.1,4.0,165.0,0.9600750345528773,0.9686628383921247,0.9941355534072115,0.015463917525773198,0.3302919708029197,0.8900101509960403
30,0.1,5.0,105.0,0.9603628163021249,0.9683266972128294,0.9939757592221219,0.015057242409158785,0.3145454545454545,0.8892605304604561
31,0.1,5.0,120.0,0.9601842441369843,0.9675563736769444,0.9938958621295771,0.014704988758582975,0.3166368515205724,0.8890161378127001
32,0.1,5.0,135.0,0.9598578800600539,0.9667400308129415,0.9938319444555412,0.014466117270409676,0.3204225352112676,0.8890522564778293
33,0.1,5.0,150.0,0.9595896326814535,0.9660937593789392,0.993728078235233,0.014538264712723889,0.3167972149695387,0.8892554394486093
34,0.1,5.0,165.0,0.9594750725476173,0.9655295223994077,0.9937200885259785,0.014190890363927672,0.31889081455805895,0.889217215581284
35,0.1,6.0,105.0,0.9603585553188863,0.9668380719902359,0.9938878724203226,0.01497682158564127,0.321206743566992,0.8898464233670729
36,0.1,6.0,120.0,0.9599480027740364,0.9658956761839973,0.9937360679444875,0.014569000404694455,0.3158813263525305,0.8891343421641131
37,0.1,6.0,135.0,0.9595138688972894,0.9652654114728186,0.9935842634686524,0.014420347450891336,0.30954428202923473,0.8885379129268971
38,0.1,6.0,150.0,0.959414708618401,0.9649232677724644,0.9935762737593979,0.014392533873053353,0.3116438356164384,0.8883577943037068
39,0.1,6.0,165.0,0.9593502296300291,0.9640929190259909,0.9933685413187814,0.014064388528733106,0.30717863105175297,0.888010236428723
40,0.1,7.0,105.0,0.959174575946559,0.9655455291222313,0.9935842634686524,0.014197389512250974,0.31659574468085105,0.8887701421841867
41,0.1,7.0,120.0,0.9585614224041487,0.9648592408811701,0.9934803972483441,0.013923979563191288,0.31197301854974707,0.8887333699432124
42,0.1,7.0,135.0,0.9582592622685382,0.9641469417155205,0.993344572191018,0.013868251609707777,0.30871369294605816,0.8885831988532235
43,0.1,7.0,150.0,0.9580950101201271,0.9633526080954,0.9932806545169821,0.013571736320551486,0.313469387755102,0.8886453986344489
44,0.1,7.0,165.0,0.9578751608958944,0.9630524820424579,0.9931927677151828,0.013779107028412734,0.30731707317073176,0.888597360809827
45,0.1,8.0,105.0,0.9596832186603516,0.9635947097781068,0.9932966339354911,0.01355380862022228,0.31059983566146265,0.8886494060863418
46,0.1,8.0,120.0,0.9598461672202833,0.9629604433862222,0.9931847780059284,0.01374533830580714,0.3104284559417947,0.888319240208586
47,0.1,8.0,135.0,0.9593457254399845,0.9623862022049261,0.9930889014948746,0.013641848995225352,0.30855315747402073,0.8877838721546756
48,0.1,8.0,150.0,0.9587162867698533,0.9617759458972769,0.9929850352745664,0.013630731102850062,0.30866141732283464,0.8876535216121606
49,0.1,8.0,165.0,0.9582825225674514,0.9611856979931571,0.9928971484727671,0.013426232009357678,0.30601092896174864,0.8876954227035834
50,1.0,4.0,105.0,0.957957491263817,0.9398447347886112,0.9885747157660932,0.010466379225224634,0.24418604651162787,0.8885745716520669
51,1.0,4.0,120.0,0.9578226963237326,0.9399807919326117,0.9885906951846022,0.010359275510540729,0.24444444444444444,0.8878936797764143
52,1.0,4.0,135.0,0.9574819149473501,0.9397867104183757,0.9885587363475843,0.010326229939489609,0.2439281942977825,0.8889833386248898
53,1.0,4.0,150.0,0.9569661219534651,0.9395566137777867,0.988470849545785,0.01028732431281329,0.2433141059255375,0.8885757171297325
54,1.0,4.0,165.0,0.9568123957956121,0.9395526120970807,0.9883989421624947,0.010286650286650288,0.2429614181438999,0.8879855622206303
55,1.0,5.0,105.0,0.9551554278272324,0.9390904179755497,0.9884948186735485,0.010466779352489925,0.24290220820189273,0.8885823595242434
56,1.0,5.0,120.0,0.9547639913373238,0.9389043398227256,0.9883589936162223,0.010306939357598936,0.24154086413326392,0.8881725915484153
57,1.0,5.0,135.0,0.9546204506805004,0.938422137297665,0.9883430141977133,0.010290712631849754,0.2420779220779221,0.8876865959898005
58,1.0,5.0,150.0,0.954830766197943,0.9385081734328418,0.9883270347792044,0.010304962483495956,0.24024960998439937,0.8868989304602799
59,1.0,5.0,165.0,0.954834997996365,0.9383601112467236,0.9880793537923155,0.01040763226366002,0.23487179487179488,0.8872862911042365
60,1.0,6.0,105.0,0.9543650057081611,0.9384361431801357,0.9880633743738065,0.010229356322578572,0.2346311475409836,0.8874822744211005
61,1.0,6.0,120.0,0.9542345106644043,0.9380559835130755,0.9880473949552976,0.010230506090348156,0.2328205128205128,0.88746734881272
62,1.0,6.0,135.0,0.953827080894942,0.9380799935973109,0.9880713640830611,0.010171117863425557,0.23553507424475165,0.8870779380045334
63,1.0,6.0,150.0,0.9536740551726897,0.9379339322515456,0.9880394052460431,0.01021059349074665,0.2350536535513541,0.8868869149843469
64,1.0,6.0,165.0,0.9531816878583457,0.93799795914284,0.9880473949552976,0.010157797227368556,0.23517382413087937,0.886235571616643
65,1.0,7.0,105.0,0.9563382106220748,0.9379939574621341,0.9879435287349894,0.010093911710215295,0.24056366381479616,0.8889437869666368
66,1.0,7.0,120.0,0.9560180142697411,0.9380379759498989,0.987871621351699,0.009974424552429669,0.23641851106639833,0.8883323082856168
