z	ldistance	m1z	m2z	ra	dec	iota	pol	tc	s1x	s1y	s1z	s2x	s2y	s2z	snr
1.46303	10578.82930	87.53520	62.38328	0.70531	-0.43684	0.92478	3.81249	1251754831.27485	-0.34809	-0.06317	-0.50238	-0.33575	0.60222	0.57392	6.08272
1.08375	7298.85109	31.68521	25.36071	5.82049	-0.77259	0.55173	1.70318	1251812667.03223	-0.10653	-0.35793	-0.09238	0.00468	-0.10707	0.57768	5.25765
1.43769	10353.05872	89.23061	71.88848	3.10189	0.82502	0.88463	1.28617	1251835227.68376	0.24154	-0.16193	-0.07868	0.01112	0.36052	0.52165	7.76880
1.38908	9922.27445	96.67185	96.65009	6.20192	0.97230	0.84177	3.94631	1251779482.66205	0.40944	-0.52756	-0.27197	-0.18868	0.24900	0.07549	7.98215
0.49167	2776.47889	15.96540	13.02031	3.91917	0.61101	1.18754	2.93839	1251760420.31483	-0.07709	0.12086	-0.04252	0.19579	-0.06605	0.10246	5.55015
0.93030	6043.47900	64.37188	51.46600	5.19742	-0.23799	0.93589	2.41629	1251792244.76497	0.03117	-0.08078	0.03370	-0.13404	-0.00372	0.16908	6.76527
0.61028	3603.80936	70.05631	28.88231	4.58588	0.13331	0.93902	6.26028	1251787737.25424	-0.49506	-0.23412	-0.47831	0.40491	-0.18326	0.20808	5.69079
1.15474	7895.01015	63.97307	25.51201	1.13187	-0.71505	0.57951	6.05533	1251831746.39246	0.32497	-0.09697	-0.01987	0.16578	-0.10535	0.00962	5.05961
1.25356	8739.32944	95.52457	48.63380	0.71982	-1.20944	0.67478	4.63584	1251792784.67648	0.00669	-0.32902	-0.10070	0.69917	0.49650	0.26242	5.62618
1.03508	6895.59436	71.04532	54.78677	2.07145	-0.90064	1.32290	1.48169	1251775098.74092	0.52013	0.24274	-0.40564	-0.16393	0.28897	0.67647	5.27752
0.84695	5382.75725	29.86064	16.06839	1.78916	-0.71185	0.27765	0.98994	1251777076.03974	-0.47604	-0.47129	-0.56473	0.18496	-0.51166	-0.18675	6.19973
1.50092	10918.07724	123.97224	116.38910	1.42027	0.88809	0.76590	5.52534	1251779610.00722	-0.21140	-0.33705	-0.00150	-0.06183	0.07631	0.02968	5.82162
0.87293	5587.01657	27.28078	20.77782	5.88045	0.49995	0.19065	6.12893	1251775061.88051	-0.46159	0.06186	-0.71109	0.10142	-0.40085	-0.00297	5.98833
0.93789	6104.43205	20.81324	17.40138	4.36818	0.64537	0.11732	5.41006	1251755940.41986	0.48349	-0.60812	-0.50188	-0.06257	0.38967	0.21538	5.39176
0.76168	4724.25619	32.07019	31.40134	2.61107	1.20613	0.52090	5.07997	1251786790.89971	0.27079	-0.29676	-0.82551	-0.03551	-0.19543	-0.21136	5.39105
0.93704	6097.62531	27.19084	22.32174	2.84265	-0.97479	0.62522	1.80021	1251794820.26221	-0.19631	-0.47134	0.16196	0.02967	0.14592	0.35673	5.72040
1.19378	8226.62802	54.61219	31.38998	5.16566	-1.26612	0.44592	0.02692	1251791318.29597	0.32997	-0.14551	0.74299	-0.02215	0.00257	0.08613	5.85281
0.65689	3941.56777	23.57291	21.94451	5.78684	0.66410	0.86843	2.59427	1251786652.74479	-0.18935	0.54458	-0.02216	0.39681	-0.08205	0.31727	7.74255
0.60791	3586.82574	34.56802	22.40569	3.85706	-0.25672	0.75113	1.12903	1251835931.77787	-0.40950	0.28413	0.51454	0.09834	-0.09556	0.34675	6.90078
0.85679	5459.91035	63.34356	14.06890	2.90008	-0.16023	0.57681	5.53621	1251794938.29481	0.70341	-0.51227	0.01658	0.02390	0.00579	-0.03463	5.21462
0.84427	5361.77949	30.67836	29.77650	3.40298	-1.37476	0.45318	4.67139	1251800310.16594	0.13890	0.17603	0.20712	-0.07587	-0.06528	0.05709	7.75596
0.94078	6127.68508	76.83455	44.47350	6.06678	-0.71933	1.04572	1.31195	1251807713.82684	0.10373	-0.33658	0.60605	0.02695	-0.09566	-0.02569	6.77262
0.71838	4397.05385	57.19279	37.70106	0.98853	0.80487	0.90571	0.56277	1251836731.56842	-0.56413	0.04048	0.01401	-0.91994	0.27867	-0.13958	6.36669
1.09690	7408.60222	48.55674	44.13460	5.05820	0.00770	0.70897	1.27930	1251822078.53457	0.34430	0.18858	0.26016	0.04016	0.00499	0.01499	6.24516
1.40196	10036.05707	64.85956	59.45282	1.07209	0.81350	0.53992	4.51406	1251783151.84587	-0.13159	0.30421	-0.41079	-0.01146	-0.11726	-0.34383	5.41963
0.62652	3720.77542	17.04382	10.58582	5.67581	-0.37267	0.39298	1.39887	1251827278.33104	0.06318	-0.01322	0.01260	-0.19180	0.70720	0.62775	6.97221
1.24456	8661.75023	54.05156	49.87621	4.73584	0.54961	0.30739	5.49605	1251836134.30091	-0.08591	0.01322	-0.21434	-0.26539	0.12667	-0.09760	6.42663
1.37732	9818.58445	125.95854	56.28599	1.03856	-0.94809	0.74187	4.79712	1251756330.28620	-0.37073	-0.11517	-0.77380	-0.00565	0.06419	0.04209	6.63712
0.40621	2212.10826	20.95990	18.83635	4.20516	0.31657	1.02731	5.37750	1251781619.89614	-0.09706	-0.22928	0.29274	0.06374	-0.15125	-0.20436	5.61718
1.29154	9068.10239	92.55461	90.65147	3.66628	-0.19466	0.64573	0.40556	1251816582.74463	0.00931	-0.54227	0.09816	-0.00569	-0.07532	0.00192	6.72024
0.40880	2228.79693	32.08491	24.27946	4.95975	-0.50465	1.02812	1.92760	1251767515.69547	-0.02733	-0.08001	-0.02493	-0.27473	0.19614	0.19389	7.11913
1.33032	9406.03629	129.61493	71.20721	1.58859	0.93413	0.69105	0.57142	1251758317.10095	-0.30890	0.65958	-0.37228	-0.02786	0.05240	-0.03089	5.77807
0.68307	4134.18301	14.46320	11.22267	5.09236	-0.63285	0.25015	3.88718	1251820126.71945	-0.23846	-0.58253	-0.29415	-0.26295	0.50982	0.71403	6.44441
1.31920	9308.91268	134.47738	95.68418	4.26350	-0.26548	0.90924	4.82581	1251761795.93171	-0.05291	0.07951	0.08952	0.38874	-0.41271	0.29598	7.26216
0.56421	3276.79785	18.43544	15.71715	2.91814	-0.55183	1.00618	3.01965	1251791250.86949	-0.08821	-0.04573	-0.04162	0.61712	0.36198	-0.12416	5.41002
1.24375	8654.78547	43.47238	25.96264	4.48877	-0.81185	0.22024	3.99822	1251810380.19579	0.09042	0.11396	0.28220	0.32277	0.56325	0.50557	6.82713
1.49346	10851.18142	117.07635	97.63861	0.51358	0.31650	0.68047	1.26350	1251771597.27888	0.36033	0.45304	-0.14424	0.31383	-0.17886	-0.91279	6.18625
1.30761	9207.83947	66.39201	47.46563	3.96670	-1.26429	0.65499	0.01935	1251807874.62627	-0.18880	0.47036	-0.66854	-0.08183	-0.06515	-0.08139	5.68327
1.22224	8469.99293	119.75348	43.23026	1.40258	1.32260	0.77293	0.36883	1251816476.80049	-0.18965	0.45000	0.07799	0.08736	0.09758	-0.01295	6.58370
0.90290	5824.52562	65.41128	42.63409	2.01776	1.00975	0.94170	3.71931	1251769472.39366	-0.01394	-0.00866	-0.08780	0.09311	0.01289	0.29431	5.42325
0.71980	4407.71930	35.18651	17.25931	5.93038	0.61870	0.71990	3.49409	1251772698.14823	-0.25493	-0.63033	-0.59495	0.76745	-0.40886	0.22708	5.79204
1.43588	10336.91733	81.44192	45.33834	5.77610	0.80434	0.20706	0.06612	1251756641.30416	0.46895	-0.04883	-0.11826	0.11923	-0.32262	-0.42141	5.03218
1.39573	9980.97127	66.36345	54.00894	3.88428	-0.02489	0.51858	0.22376	1251816070.78956	-0.25200	-0.68908	-0.22558	-0.28948	-0.31869	-0.29239	5.11286
0.60161	3541.77686	39.26547	12.67171	3.73318	0.27081	0.98570	3.84339	1251767188.72744	-0.08882	-0.58660	0.06762	-0.05950	-0.32298	0.20074	5.39357
